time,risk_free
2015-12-31,7.037
2016-01-31,6.863
2016-02-29,6.868
2016-03-31,6.943
2016-04-30,6.943
2016-05-31,6.899
2016-06-30,6.921
2016-07-31,6.835
2016-08-31,6.218
2016-09-30,5.971
2016-10-31,6.046
2016-11-30,6.095
2016-12-31,6.01
2017-01-31,5.882
2017-02-28,5.826
2017-03-31,5.793
2017-04-30,5.671
2017-05-31,5.634
2017-06-30,5.265
2017-07-31,5.501
2017-08-31,5.366
2017-09-30,5.315
2017-10-31,5.387
2017-11-30,5.053
2017-12-31,4.098
2018-01-31,4.307
2018-02-28,4.196
2018-03-31,4.682
2018-04-30,4.658
2018-05-31,4.743
2018-06-30,4.923
2018-07-31,5.172
2018-08-31,5.028
2018-09-30,5.183
2018-10-31,5.166
2018-11-30,5.166
2018-12-31,4.881
2019-01-31,4.755
2019-02-28,4.828
2019-03-31,4.764
2019-04-30,4.701
2019-05-31,4.654
2019-06-30,4.404
2019-07-31,4.162
2019-08-31,4.057
2019-09-30,3.649
2019-10-31,3.568
2019-11-30,3.378
2019-12-31,3.157
2020-01-31,2.856
2020-02-29,3.517
2020-03-31,3.05
2020-04-30,3.146
2020-05-31,3.033
2020-06-30,2.966
2020-07-31,2.873
2020-08-31,2.743
2020-09-30,2.574
2020-10-31,2.421
2020-11-30,2.451
2020-12-31,2.304
2021-01-31,2.355
2021-02-28,2.386
2021-03-31,2.313
2021-04-30,2.273
2021-05-31,2.174
2021-06-30,2.153
2021-07-31,2.095
2021-08-31,2.132
2021-09-30,2.116
2021-10-31,2.082
2021-11-30,2.1
2021-12-31,2.163
2022-01-31,2.34
2022-02-28,2.479
2022-03-31,3.103
2022-04-30,3.249
2022-05-31,3.368
2022-06-30,3.632
2022-07-31,3.681
2022-08-31,5.016
2022-09-30,5.194
2022-10-31,5.164
2022-11-30,5.037
2022-12-31,4.639
2023-01-31,4.532
2023-02-28,3.469
2023-03-31,3.363
2023-04-30,3.27
2023-05-31,2.747
2023-06-30,2.561
2023-07-31,2.717
2023-08-31,2.838
2023-09-30,3.067
2023-10-31,2.486
2023-11-30,2.393
2023-12-31,2.422
2024-01-31,2.462
2024-02-29,2.747
2024-03-31,2.9
2024-04-30,2.948
2024-05-31,2.885
2024-06-30,2.893
2024-07-31,2.83
2024-08-31,2.768
2024-09-30,2.798
2024-10-31,2.869
2024-11-30,3.118
2024-12-31,3.107
2025-01-31,3.179
2025-02-28,3.059
2025-03-31,3.196
2025-04-30,3.22
2025-05-31,3.335
2025-06-30,3.448
2025-07-31,3.689
2025-08-31,3.761
2025-09-30,3.954
2025-10-31,4.031
2025-11-30,4.186
